Epoch,Train accuracy,Test accuracy
1,0.982222,0.948333
2,0.997222,0.963333
3,0.999444,0.965000
4,0.999444,0.970000
5,0.997778,0.968333
6,0.998333,0.970000
7,1.000000,0.975000
8,1.000000,0.975000
9,1.000000,0.975000
10,1.000000,0.975000
11,1.000000,0.975000
12,1.000000,0.975000
13,1.000000,0.975000
14,1.000000,0.975000
15,1.000000,0.975000
16,1.000000,0.975000
17,1.000000,0.975000
18,1.000000,0.975000
19,1.000000,0.975000
20,1.000000,0.975000
21,1.000000,0.975000
22,1.000000,0.975000
23,1.000000,0.975000
24,1.000000,0.975000
25,1.000000,0.975000
26,1.000000,0.975000
27,1.000000,0.975000
28,1.000000,0.975000
29,1.000000,0.975000
30,1.000000,0.975000
